Entry_id,Title,Description,Published Date,Location,URL
h1459680,Kollega til forligskontoret i Forsvarsministeriets Departement,Vil du være med til at sætte retningen for forsvarsforligets delaftaler Vil du bidrage til at ruste Danmark til den nye sikkerhedspolitiske situation Så har du muligheden nu Vi søger nye kollegaer som vil arbejde i forligskontoret med fokus på økonomi og analyse i forsvarsforliget,2024-04-11,København K,https://www.jobindex.dk/vis-job/h1459680
h1459679,Elteknisk supporter til Campus Service i Taastrup,,2024-04-11,Taastrup,https://www.jobindex.dk/vis-job/h1459679
h1459675,Serviceassistent,Vi søger hjælp til at holde pænt og rent i vort hus fordelt på 3 etager,2024-04-11,Kastrup,https://www.jobindex.dk/vis-job/h1459675
h1459673,Chef for Økonomistyring og Regnskab,Vil du både lede økonomistyring på et strategisk niveau og arbejde for Danmarks sikkerhed Kan du samtidigt engagere dine medarbejdere til at realisere områdets prioriterede mål og derved opnå resultater der understøtter FE som helhed,2024-04-11,København Ø,https://www.jobindex.dk/vis-job/h1459673
h1459671,Maskinmester til spildevandsafdeling  generationsskifte,Vil du være med til at drive og optimere afløbssystemet i HOFORs ejerkommuner,2024-04-11,København S,https://www.jobindex.dk/vis-job/h1459671
h1459670,Er du en erfaren salgskoordinator,Motiveres du af selvstændigt at administrere før og eftersagsbehandling ifm bolig salg,2024-04-11,Skjern,https://www.jobindex.dk/vis-job/h1459670
h1459666,EDC Skjern  Tarm søger ejendomsmæglersælger,Vi søger en topmotiveret ejendomsmægler eller sælger der brænder for at sælge boliger skabe resultater vækst og succes ,2024-04-11,Skjern,https://www.jobindex.dk/vis-job/h1459666
h1459665,Marienlund søger nattevagt,Marienlund er et socialpædagogisk botilbud beliggende i Ikast med plads til 35 voksne udviklingshæmmede borgere med et varieret nedsat fysisk og psykisk funktionsniveau Der er stor variation i alder aktivitetsniveau og støttebehov,2024-04-11,Ikast,https://www.jobindex.dk/vis-job/h1459665
h1459664,Servicemurer,Er du,2024-04-11,Vejle,https://www.jobindex.dk/vis-job/h1459664
h1459662,Projektleder til fremtidens museum,Brænder du for kultur historie og de store fascinerende fortællinger Og kan du samtidig sætte struktur på visionerne for hvordan vi formidler til fremtidens museumsbrugere,2024-04-11,Ebeltoft,https://www.jobindex.dk/vis-job/h1459662
h1459659,Transportmedarbejder  Aalborg,Ambitionerne for offshore vind er store og vi skal vækste for at kunne levere vores del af puslespillet for at det hele kan gå op Det kræver sit hold og vi er derfor på jagt efter endnu en ny kollega der ligesom os brænder for at gøre en forskel,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459659
h1459658,Financeøkonomiansvarlig til international produktionsvirksomhed,Du kender Google Facebook Microsoft Netflix samt de største telekommunikationsvirksomheder i Europa Vi producerer motorvejen til deres fibernet,2024-04-11,Hedensted,https://www.jobindex.dk/vis-job/h1459658
h1459651,Montør til solafskærmning, Danmarks stærkeste solafskærmningsvirksomhed Blendex AS tilbyder dig muligheden for en ny udfordring ,2024-04-11,Gentofte,https://www.jobindex.dk/vis-job/h1459651
h1459649,Servicemedarbejdere søges til Varde Kommune,Vi søger lige nu efter 35 erfarne servicemedarbejdere til rengøring hos vores kunde,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459649
h1459647,Pædagog til barselsvikariat i Naturværkstedet på Sølager,Er du uddannet pædagog og kan skabe rum for at både mennesker og dyr trives,2024-04-11,Hundested,https://www.jobindex.dk/vis-job/h1459647
h1459644,SROspecialist,Vil du være med til at udvikle og optimere afløbssystemet i HOFORs ejerkommuner,2024-04-11,København S,https://www.jobindex.dk/vis-job/h1459644
h1459642,Regnskabsførerbogholder til Det Fælles Regnskabskontor i Silkeborg og Skanderborg Provstier,Det Fælles Regnskabskontor i Silkeborg og Skanderborg Provstier søger en ny kollega fra 162024 eller snarest muligt,2024-04-11,Silkeborg,https://www.jobindex.dk/vis-job/h1459642
h1459641,Accountant med speciale i administration af lejemål,I General Accounting får vi snarest muligt brug for en barselsvikar frem til 31 juli 2025 med mulighed for fastansættelse,2024-04-11,Allerød,https://www.jobindex.dk/vis-job/h1459641
h1459638,Socialrådgiver til den sikrede institution Bakkegården,Er du interesseret i at indgå i et samarbejde om at videreudvikle Bakkegården og har du lyst til at være med til at skabe grobund for kimen til forandring for de unge og har du viden og erfaring med unge med kriminel adfærd,2024-04-11,Nykøbing Sj,https://www.jobindex.dk/vis-job/h1459638
h1459635,Area Sales Manager,The role of the Area Sales Manager Orkla Health International is to manage our distribution partners in specific markets You would build strategies hand in hand with OHI partners that ensure long term growth,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459635
h1459634,Har du lyst til at prøve et nyt og anderledes rengøringsjob,Vi søger en servicemedarbejderrengøringsassistent til et attraktivt og selvstændigt job hvor de primære opgaver er almindelige rengøringsopgaver på vores 5 lokationer Herudover skal du stå for bestilling og modtagelse af varer opfyldning af varer pasning af planter mv,2024-04-11,Rødovre,https://www.jobindex.dk/vis-job/h1459634
h1459632,Studjurmercjur,Vil du være en del af en juridisk afdeling inden for fast ejendom i et dansk administrationsselskab Ønsker du et udfordrende og spændende studiejob med en unik berøringsflade til Blackstones verdensomspændende netværk ,2024-04-11,Frederiksberg,https://www.jobindex.dk/vis-job/h1459632
h1459631,Software Engineer  Cloudløsninger til vandbranchen,,2024-04-11,Silkeborg,https://www.jobindex.dk/vis-job/h1459631
h1459630,Salgsassistenter til nattevagter på Nørreport Station DSB 7Eleven 25 timer om ugen,Er du interesseret i at arbejde mens de fleste andre sover og foretrækker du at have fri i dagtimerne Hvis du samtidig er motiveret af salg og kundebetjening så har vi det helt ideelle job til dig,2024-04-11,København K,https://www.jobindex.dk/vis-job/h1459630
h1459629,Medarbejder til agil porteføljestyring,Kunne du tænke dig at arbejde et sted hvor vi dagligt udvikler itløsninger der bidrager til at sikre menneskeliv og materielle værdier og understøtter den grønne omstilling i samfundet,2024-04-11,København Ø,https://www.jobindex.dk/vis-job/h1459629
h1459627,Sektionschef for Datacenter infrastruktur i forsvaret,Er du klar til at lede Forsvarets datacenter infrastruktur ind i fremtiden Som leder af vores Datacenter sektion får du en spændende mulighed for at spille en central rolle i udviklingen af Danmarks ITinfrastruktur,2024-04-11,Hvidovre,https://www.jobindex.dk/vis-job/h1459627
h1459625,Asfaltformand til NCC Vestjylland,Har du erfaringen til at lede et hold af asfaltmedarbejdere Synes du også at der er noget specielt ved at se morgendagens asfalt blive lagt Og vil du lægge vejen i en stabil virksomhed,2024-04-11,Spjald,https://www.jobindex.dk/vis-job/h1459625
h1459624,Generalist til itinfrastrukturdrift,Vil du være til at understøtte udviklingen af itdriften i en organisation der har afgørende betydning for undervisningsområdet i Danmark Så er et job i Styrelsen for It og Læring STIL måske noget for dig,2024-04-11,Højbjerg,https://www.jobindex.dk/vis-job/h1459624
h1459621,Client Manager Enterprise Business EMEA,You will be the driver for accelerated and sustainable growth of SI RSS and SI portfolio within Solution and Services and with selected key customers mapping out key decision makers identifying their pain points implementing the necessary strategy to increase revenue and sales,2024-04-11,Ballerup,https://www.jobindex.dk/vis-job/h1459621
h1459619,Sektionschef for Netværksinfrastruktur i Forsvaret,Er du parat til at tage ansvaret for udvikling og drift af et omfattende dansk netværk som spiller en central rolle for landets sikkerhed og det civile samfunds velbefindende,2024-04-11,Hvidovre,https://www.jobindex.dk/vis-job/h1459619
h1459616,ABAteknikere,Vil du være med til at videreudvikle vores spændende arbejdsplads og gøre en forskel inden for brandsikring Vi søger lige nu ABAteknikere til både Fyn og Trekantsområdet med base i Fredericia,2024-04-11,Fredericia,https://www.jobindex.dk/vis-job/h1459616
h1459615,Konsulent til porteføljestyring,Motiveres du af at skabe tværgående samarbejde og skabe gennemsigtighed i leverancestyringen af en stor portefølje af projekter,2024-04-11,Fredericia,https://www.jobindex.dk/vis-job/h1459615
h1459614,Køkkenchef til Hotel Royal,Hotel Royal søger en passioneret og erfaren køkkenchef til Aarhus historiske hotel i hjertet af byen,2024-04-11,Aarhus C,https://www.jobindex.dk/vis-job/h1459614
h1459613,Økonomikonsulent,Har du lyst til at arbejde med økonomistyring og økonomiske analyser i Tønder Kommune   så er dette job måske noget for dig ,2024-04-11,Tønder,https://www.jobindex.dk/vis-job/h1459613
h1459612,Plejehjem nær Roskilde søger afløsere til sommerferien,,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459612
h1459611,Tilkaldevikarer søges i sommerferien hos HabitusHuset Jernstøbervænget,Vil du være med til at skabe meningsfulde liv,2024-04-11,Køge,https://www.jobindex.dk/vis-job/h1459611
h1459610,Debitorassistent,Er du nysgerrig og undersøgende Kan du lide at automatisere processer og dykke ned i detaljer,2024-04-11,Brørup,https://www.jobindex.dk/vis-job/h1459610
h1459609,Sustainability Manager,Vil du være med til at forme fremtiden for bæredygtighed hos Evida Vi søger en visionær og handlingsorienteret Sustainability Manager til at lede vores bæredygtighedsprogram så de integreres dybt i vores forretning ,2024-04-11,Viborg,https://www.jobindex.dk/vis-job/h1459609
h1459606,Indkøbsassistent til DLG i Fredericia,Vil du udnytte din evner og erfaring indenfor indkøb og logistik og vil være en del af en spændende virksomhed i konstant udvikling,2024-04-11,Fredericia,https://www.jobindex.dk/vis-job/h1459606
h1459604,Logistics analyst hos BCA EU Logistics,Vi søger en ny kollega til vores europæiske Logistikafdeling I hverdagen vil opgaverne dreje sig om at måle vores serviceniveau og effektivitet igennem analyser og rapportering ,2024-04-11,Vejle,https://www.jobindex.dk/vis-job/h1459604
h1459603,Barselsvikariat  administrativ medarbejder til indkøb af ITkonsulenter hos Koncern Digitalisering,Vi søger et barselsvikariat på deltid 2025 timer om ugen som vil være med til at administrere vores indkøbsportefølje af ITkonsulenter,2024-04-11,Ringsted,https://www.jobindex.dk/vis-job/h1459603
h1459602,Salgsassistenter til Roskilde Station DSB 7Eleven 520 timer om ugen,Er det vigtigt for dig at have gode kollegaer som du kan have det sjovt med imens du arbejder Og kan du lide at sælge og yde god kundeservice ,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459602
h1459600,Salgsleder til kolonialafdelingen  MENY Tårnby Kastrup,Vil du skabe gode MADoplevelser for vores kunder med fokus på kvalitet og ekstraordinær kundeservice Og har du en kommende butikschef gemt i maven der bare venter på at få mulighed for at udleve sit potentiale i nogle fantastisk inspirerende rammer ,2024-04-11,Kastrup,https://www.jobindex.dk/vis-job/h1459600
h1459595,Fuldmægtige til erhvervsrettet digitaliseringspolitik i Danmarks første digitaliseringsministerium,Vi har brug for engagerede fuldmægtige på holdet i Erhvervsrettet digitalisering hvor vi arbejder for at fastholde Danmark som digitalt foregangsland og er med til at skabe rammerne for virksomhedernes digitale omstilling,2024-04-11,København K,https://www.jobindex.dk/vis-job/h1459595
h1459594,Pædagog til Bakkegården  en organisation i udvikling,Vi søger kollegaer der er uddannet pædagog og som vil være med til at yde en særlige indsats i arbejdet med unge med en kriminel adfærd og særlige udfordringer,2024-04-11,Nykøbing Sj,https://www.jobindex.dk/vis-job/h1459594
h1459591,Tilbudsberegner til HM Entreprenør,Er du proaktiv energisk og selvstændig Og kunne du tænke dig at blive en del af tilbudsafdelingen hos en velkonsolideret entreprenørvirksomhed med base i Horsens,2024-04-11,Horsens,https://www.jobindex.dk/vis-job/h1459591
h1459590,Experienced IT Administrator Microsoft  Mobility,Can you see yourself being part of implementing driving and administrate the Copenhagen Metro ITinfrastructure Do you see yourself in a central administrative and business support role with broad responsibilities to include 1st and 2nd line support when needed and do you have SAP and Mobility experience then you might be one of our new colleagues,2024-04-11,"København SV, København S",https://www.jobindex.dk/vis-job/h1459590
h1459588,Juniorrådgiver,Analyserne taler deres tydelige sprog Vælg et relevant studiejob og øg sandsynligheden for hurtigt at lande et godt job efter dimission ,2024-04-11,Frederiksberg,https://www.jobindex.dk/vis-job/h1459588
h1459587,Indkøbschef til fremtidens infrastruktur i Danmark,Er du en kombination af strateg og operationel med relevant og længerevarende indkøbsbaggrund så er det dig vi søger til stillingen som indkøbschef hos NCC Infrastructure DK,2024-04-11,Søborg,https://www.jobindex.dk/vis-job/h1459587
h1459586,Sektionsleder til 112 AMKVagtcentralen,Klar til at tage styringen på vores nye og moderne AMKVagtcentral og være med til at holde Region Hovedstadens hjerte af akuthjælp i gang Hos os redder vi ikke kun liv  vi gør det med stil,2024-04-11,Ballerup,https://www.jobindex.dk/vis-job/h1459586
h1459585,Butikschef til Ringsted Station DSB 7Eleven,Er du dygtig til ledelse og medarbejderudvikling ,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459585
h1459584,Security  Network OTITIoT Architect RAIL,Can you see yourself in a central position working with strengthening the Copenhagen Metro security and network IT architecture Then this job might be something for you,2024-04-11,"København SV, København S",https://www.jobindex.dk/vis-job/h1459584
h1459581,Geoteknisk designingeniør med erfaring i fundering,Må vi byde dig inden for hos Hercules  en helt særlig afdeling i NCC hvor du som designingeniør får både teori og praksis helt tæt på,2024-04-11,"Århus, Søborg",https://www.jobindex.dk/vis-job/h1459581
h1459578,Inside Sales Representative for EET International,We are looking for a customer and service oriented Inside Sales Representative to join our team and support our account managers in their daily work ,2024-04-11,Åbyhøj,https://www.jobindex.dk/vis-job/h1459578
