Title,Description,Published Date,Location,URL
Teamleder til Vedligehold,"I denne stilling får du ansvaret for vores vedligeholdelsesteam, som består af forskellige profiler inden for de tekniske områder (automatikteknikere, teknisk indkøb mv.) ",2024-04-09,Hammel,https://www.jobindex.dk/vis-job/h1458894
Operatør til produktion af maling,"Du vil indgå som en del af produktionen på 12 operatører, der producerer og tapper kvalitetsmaling. Som opstart vil du gennemgå en oplæringsperiode i samarbejde med produktionen og laboratoriet.",2024-04-09,Søborg,https://www.jobindex.dk/vis-job/h1458893
Audiologist,"Som Audiologist hos AudioNova vil du på professionel vis være med på hele kunderejsen, fra den indledende samtale med kunden til den endelige tilpasning af den valgte høreløsning.",2024-04-09,Viborg,https://www.jobindex.dk/vis-job/h1458889
Teknisk driftsdirektør til Infrastruktur,"Vil du være med til at styrke og samle Banedanmarks tekniske drift og vedligehold? Er du en strategisk leder, som kan opbygge et effektivt 24/7 teknisk beredskab, på et fundament af løbende forbedringer?",2024-04-09,Ringsted,https://www.jobindex.dk/vis-job/h1458888
Skarp økonom med interesse for elmarkedet,"Har du lyst til at arbejde med et område, som har stor betydning for den enkelte borger, samfundet og den grønne omstilling?",2024-04-09,Frederiksværk,https://www.jobindex.dk/vis-job/h1458883
Studentermedhjælper med interesse for ordblindhed,"Interesserer du dig for ordblindhed, handicappolitik, uddannelse og specialpædagogisk støtte (SPS), og har du lyst til at få indblik i Børne- og Undervisningsministeriets arbejde med at kvalitetsudvikle rammerne for specialpædagogiske indsatser for børn og unge i skole og uddannelse?",2024-04-09,København SV,https://www.jobindex.dk/vis-job/h1458882
Biblioteksbetjent,Det Kgl. Bibliotek søger en biblioteksbetjent som trives i et praktisk job i en spændende Institution.,2024-04-09,København K,https://www.jobindex.dk/vis-job/h1458880
Økonom til styring af KL's interne økonomi,"Er du en dynamisk økonom med fokus på budgettering, controlling og effektiviseringsanalyser? Har du høj faglighed inden for økonomistyring, og trives du med at samarbejde på tværs af fagligheder og områder?",2024-04-09,København,https://www.jobindex.dk/vis-job/h1458877
Systemejer til ny ERP-platform,"Ønsker du en rolle som systemejer i et miljø, hvor samarbejde og høj faglighed er i fokus? Vil du være med til at vedligeholde og understøtte implementering og drift af KL’s kommende økonomisystem i samarbejde med IT og leverandør? Så søger vi en kollega til at sikre en god implementering af vores nye ERP-platform.",2024-04-09,København,https://www.jobindex.dk/vis-job/h1458874
KVALITETSANSVARLIG - ADMINISTRATION,"Vil du være med til at bygge på udviklingen, og dermed sikre, at fremtidens konstruktionstyper leveres med høj kvalitet?",2024-04-09,Hobro,https://www.jobindex.dk/vis-job/h1458873
Vi søger en intern salgsmedarbejder,"Brænder du for at give god service, rådgivning og salg af reservedele til den tunge transportsektor? Kan du sælge via telefonen, arbejde struktureret og hjælpe vores kunder med online bestillinger?",2024-04-09,Greve,https://www.jobindex.dk/vis-job/h1458872
Erhvervsrådgiver til Sydbank i Vejle,I Sydbank har vi fokus på det vigtige nemlig bankdrift og sundt købmandskab. Bare bank - helt enkelt. Vi tror det er en af årsagerne til at vi har nogle af de mest tilfredse medarbejdere og kunder i branchen.,2024-04-09,Vejle,https://www.jobindex.dk/vis-job/h1458868
IT-generalister til rollen som systemejer/ITIL Application Manager på outsourcede it-systemer,"Drømmer du om en rolle som systemejer / ITIL Application Manager i et miljø hvor samarbejde, høj faglighed og en god portion humor er i højsædet? Og drives du af faglige udviklingsmuligheder gennem mange forskelligartede opgaver? Så er det dig vi har brug for!",2024-04-09,Frederiksberg,https://www.jobindex.dk/vis-job/h1458866
Studentermedhjælper - Talent Acquisition,Vil du hjælpe os med at tiltrække og ansætte de bedste talenter til Topdanmark?,2024-04-09,Ballerup,https://www.jobindex.dk/vis-job/h1458865
Office supporter,,2024-04-09,Nordhavn,https://www.jobindex.dk/vis-job/h1458864
Grundvand og Drikkevand– 2 nye kollegaer søges til Natur og Miljø. En ny koordinator og en ny kollega til sagsbehandling,"Vi tilbyder to spændende stillinger med personlige og faglige udviklingsmuligheder inden for grundvand og drikkevand. I får masser af ansvar og handlerum fra start, samtidig med, at vi har fokus på, at der skal være balance mellem arbejdsliv og fritidsliv. ",2024-04-09,Kalundborg,https://www.jobindex.dk/vis-job/h1458863
Selvstændig mekanikeransvarlig søges til branchens bedste arbejdsplads i Kalundborg,"Vi søger en selvkørende og engageret mekanikeransvarlig, som sætter en ære i at levere god kundeservice og høj kvalitet i sit arbejde, som altid får kunden til at smile stort tilbage.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458861
Kvalitetsbevidst og serviceminded sagsbehandler til Erhvervsregistrering (Tidsbegrænset),"Vil du være med til at hjælpe virksomheder med at blive registreret, så de hurtigt og effektivt kan komme i gang med at drive deres forretning? Og trives du i en udadvendt rolle med henblik på at levere en suveræn kundeservice?",2024-04-09,Randers C,https://www.jobindex.dk/vis-job/h1458860
Underviser i projektledelse og ledelse,Vi søger til tiltrædelse snarest muligt en kollega til at undervise og udvikle projektledere og ledere på efter- og videreuddannelse. ,2024-04-09,Viby J,https://www.jobindex.dk/vis-job/h1458859
Bygningsingeniør med håndværksmæssig baggrund til projektledelse af tekniske byggeopgaver,"Trives du i en rolle, hvor du i høj grad selv bestemmer, hvornår og hvordan du løser opgaverne? Og er det vigtigt for dig at være en del af en stærk organisation, der er med til at drive den grønne omstilling?",2024-04-09,Virum,https://www.jobindex.dk/vis-job/h1458856
We are looking for a dedicated and engaged PR and Content Manager,"As one of the largest tech consulting companies in the Nordics, we're ambitious about our future, aiming to triple in size over the next 5 years. To achieve this goal, we recognize the importance of investing in building a robust brand.",2024-04-09,"Oslo (NO), Stockholm (SE), Copenhagen (DK), Helsinki (FI), or Vilnius (LT)",https://www.jobindex.dk/vis-job/h1458854
EDC søger deltid Kundesupportere,"EDC's Kundecenter søger serviceorienterede studentermedhjælpere. Der er tale om ca. 15 timer om ugen, men med mulighed for både færre og flere vagter.",2024-04-09,Frederiksberg C,https://www.jobindex.dk/vis-job/h1458848
Spotter du tendenser inden for fødevaresektoren? Og har du flair for gode forretninger?,"Wiik & Co. søger nu en dygtig sælger, som også kan bidrage til forretningsudvikling og identifikation af nye spændende kunder og varegrupper.",2024-04-09,Glostrup,https://www.jobindex.dk/vis-job/h1458844
IT-supporter – skal du kickstarte din karriere hos os?,"Er du nyuddannet eller på sidste semester af din IT-uddannelse? Leder du efter et spændende fuldtids- eller studiejob, hvor du kan prøve kræfter af med en masse forskellige områder inden for IT?",2024-04-09,Greve,https://www.jobindex.dk/vis-job/h1458841
Styrelsen for Undervisning og Kvalitet søger læringskonsulent til faget og valgfaget madkundskab i Center for Udgående Kvalitetsarbejde,"Har du en stærk faglig, didaktisk og pædagogisk profil inden for madkundskab, og arbejder du vidensbaseret? I stillingen som læringskonsulent til madkundskab vil du bl.a. komme til at:",2024-04-09,Holbæk,https://www.jobindex.dk/vis-job/h1458835
Lærer søges til specialklasserne i Ølsted,"Brænder du for at undervise og arbejde specialpædagogisk på samme tid? Har du arbejdet med elever med autisme, ADHD, kravafvisende og til tider udadreagerende adfærd?",2024-04-09,Broby,https://www.jobindex.dk/vis-job/h1458834
